ADC0, ADC1
0029,0030
0030,0032
0028,0031
0031,0030
0031,0032
0030,0030
0032,0029
0030,0032
0030,0031
0028,0031
0030,0031
0031,0031
0031,0030
0030,0031
0031,0032
0029,0031
0032,0030
0032,0030
0029,0033
0029,0028
0030,0031
0031,0031
0030,0027
0030,0031
0030,0032
0030,0030
0028,0036
0029,0029
0033,0025
0029,0029
0027,0030
0028,0031
0029,0030
0030,0031
0024,0037
0031,0030
0031,0030
0031,0030
0037,0033
0029,0030
0030,0030
0031,0030
0033,0025
0029,0028
0029,0028
0030,0030
0030,0028
0030,0028
0023,0026
0027,0028
0029,0028
0030,0029
0030,0030
0026,0030
0028,0024
0028,0030
0030,0029
0029,0028
0028,0028
0028,0028
0028,0027
0026,0029
0028,0029
0029,0026
0021,0028
0029,0028
0028,0026
0029,0029
0028,0029
0029,0029
0029,0028
0029,0029
0029,0025
0028,0027
0026,0025
0026,0029
0029,0029
0026,0027
0030,0028
0030,0028
0027,0027
0025,0027
0028,0030
0029,0027
0028,0027
0027,0028
0022,0027
0027,0027
0028,0027
0028,0027
0022,0027
0029,0028
0027,0028
0028,0029
0027,0027
0028,0026
0027,0028
0028,0030
0029,0028
0027,0027
0029,0029
0025,0029
0027,0028
0027,0027
0030,0027
0029,0030
0028,0024
0028,0027
0029,0028
0027,0026
0030,0032
0026,0028
0030,0029
0028,0027
0028,0025
0029,0029
0027,0028
0028,0029
0029,0028
0029,0028
0027,0028
0027,0028
0032,0026
0028,0029
0027,0027
0027,0028
0027,0035
0028,0028
0030,0034
0029,0028
0029,0018
0028,0027
0028,0028
0028,0030
0029,0029
0029,0029
0028,0027
0029,0029
0029,0028
0027,0026
0027,0030
0027,0028
0029,0026
0026,0026
0029,0028
0027,0027
0025,0031
0028,0028
0028,0029
0027,0026
0027,0028
0026,0029
0026,0027
0028,0028
0026,0023
0027,0029
0028,0027
0027,0028
0029,0028
0028,0026
0029,0027
0029,0030
0028,0029
0030,0026
0027,0026
0026,0026
0029,0027
0028,0027
0028,0033
0027,0026
0028,0030
0030,0027
0029,0029
0026,0029
0032,0031
0030,0030
0028,0029
0028,0030
0030,0028
0032,0028
0029,0028
0030,0029
0030,0029
0029,0029
0030,0028
0030,0028
0027,0029
0028,0028
0030,0030
0027,0028
0029,0030
0028,0027
0029,0029
0028,0029
0029,0029
0030,0029
0029,0032
0028,0027
0028,0034
0030,0029
0031,0031
0033,0032
0031,0030
0030,0032
0035,0027
0032,0030
0030,0031
0030,0028
0030,0028
0030,0030
0028,0030
0025,0030
0030,0027
0031,0030
0030,0029
0030,0030
0028,0032
0028,0029
0027,0029
0029,0029
0028,0029
0029,0028
0028,0029
0027,0025
0030,0031
0029,0029
0029,0029
0029,0030
0029,0030
0029,0029
0027,0029
0030,0028
0029,0029
0029,0029
0028,0029
0030,0030
0028,0030
0029,0028
0028,0028
0029,0030
0027,0025
0028,0028
0030,0029
0033,0027
0028,0029
0028,0030
0029,0028
0030,0029
0030,0028
0029,0029
0029,0028
0030,0030
0029,0029
0029,0029
0029,0029
0029,0029
0027,0027
0026,0029
0029,0030
0022,0030
0028,0029
0028,0028
0029,0029
0029,0028
0030,0027
0028,0029
0028,0028
0029,0028
0028,0027
0030,0030
0028,0029
0027,0030
0026,0028
0030,0031
0030,0028
0019,0030
0028,0028
0030,0030
0031,0029
0031,0029
0032,0029
0031,0031
0029,0030
0030,0030
0031,0030
0030,0030
0029,0029
0029,0028
0030,0027
0031,0031
0030,0032
0034,0030
0033,0031
0031,0030
0030,0028
0031,0032
0030,0030
0030,0032
0031,0032
0032,0032
0029,0032
0031,0032
0031,0030
0031,0030
0029,0032
0028,0033
0030,0030
0031,0031
0029,0030
0030,0031
0030,0029
0031,0030
0032,0031
0031,0028
0030,0030
0030,0030
0029,0030
0030,0028
0030,0031
0029,0031
0031,0031
0030,0031
0031,0031
0028,0030
0030,0030
0030,0029
0029,0028
0030,0030
0030,0031
0030,0029
0030,0028
0029,0029
0029,0030
0028,0029
0027,0030
0028,0028
0029,0029
0030,0028
0030,0029
0031,0036
0029,0028
0029,0028
0028,0027
0029,0026
0029,0032
0029,0031
0028,0028
0027,0029
0030,0029
0030,0030
0030,0029
0030,0031
0029,0029
0031,0029
0031,0029
0030,0028
0029,0032
0030,0029
0031,0030
0030,0030
0031,0029
0032,0029
0030,0030
0030,0028
0028,0029
0030,0031
0030,0029
0030,0030
0027,0030
0029,0028
0030,0030
0030,0030
0030,0030
0028,0028
0033,0030
0030,0030
0028,0029
0030,0029
0031,0029
0030,0030
0029,0029
0030,0029
0029,0029
0030,0031
0027,0031
0028,0030
0030,0030
0029,0029
0029,0031
0030,0029
0030,0032
0029,0030
0030,0030
0028,0028
0029,0030
0029,0030
0029,0028
0028,0029
0027,0029
0027,0028
0028,0028
0028,0028
0030,0030
0027,0032
0028,0029
0030,0028
0030,0028
0028,0026
0028,0027
0027,0028
0029,0026
0028,0028
0028,0030
0027,0028
0028,0029
0028,0028
0028,0026
0027,0028
0028,0028
0030,0024
0028,0029
0028,0030
0028,0028
0026,0030
0028,0027
0028,0028
0027,0028
0028,0027
0029,0030
0030,0030
0029,0029
0030,0028
0028,0029
0029,0029
0028,0028
0027,0027
0029,0028
0027,0026
0027,0030
0028,0029
0030,0029
0032,0030
0030,0030
0031,0030
0030,0030
0031,0032
0029,0031
0031,0030
0031,0030
0030,0032
0031,0030
0030,0028
0031,0031
0031,0031
0030,0031
0033,0031
0032,0031
0031,0030
0031,0032
0032,0031
0031,0030
0031,0030
0032,0030
0033,0030
0032,0032
0033,0037
0034,0031
0032,0026
0030,0029
0031,0032
0031,0029
0031,0033
0031,0032
0031,0027
0031,0034
0032,0032
0032,0031
0031,0031
0030,0029
0031,0028
0028,0028
0030,0033
0031,0028
0031,0032
0029,0031
0028,0032
0032,0031
0030,0030
0028,0029
0027,0031
0031,0031
0031,0030
0032,0033
0031,0030
0030,0030
0030,0031
0031,0030
0030,0031
0030,0028
0031,0031
0030,0030
0030,0031
0030,0029
0030,0030
0031,0030
0032,0032
0031,0030
0030,0029
0029,0029
0030,0031
0030,0029
0028,0029
0030,0030
0030,0030
0030,0031
0030,0030
0031,0029
0030,0028
0029,0029
0029,0030
0032,0033
0029,0029
0030,0030
0030,0028
0028,0027
0029,0029
0030,0029
0029,0028
0030,0028
0032,0028
0030,0029
0029,0029
0027,0029
0029,0027
0027,0029
0028,0032
0029,0030
0029,0030
0030,0029
0029,0029
0029,0028
0029,0028
0032,0028
0030,0028
0029,0029
0029,0028
0027,0029
0028,0029
0031,0022
0028,0030
0028,0028
0029,0030
0029,0028
0029,0028
0028,0026
0028,0030
0028,0028
0028,0027
0029,0029
0029,0029
0029,0027
0029,0028
0030,0030
0028,0027
0028,0029
0029,0030
0028,0029
0028,0029
0030,0028
0028,0028
0029,0029
0029,0029
0029,0028
0028,0030
0029,0029
0029,0028
0028,0030
0029,0026
0027,0028
0029,0029
0020,0027
0030,0028
0029,0028
0028,0028
0029,0029
0027,0028
0029,0029
0031,0026
0027,0026
0027,0027
0028,0027
0028,0028
0027,0027
0028,0028
0027,0026
0029,0027
0026,0029
0027,0027
0027,0028
0027,0029
0027,0030
0027,0027
0027,0027
0038,0026
0025,0027
0031,0028
0027,0024
0027,0028
0027,0027
0027,0025
0027,0029
0026,0027
0028,0028
0027,0028
0029,0029
0024,0026
0029,0028
0028,0028
0029,0028
0030,0030
0029,0030
0028,0029
0028,0026
0029,0028
0030,0027
0025,0027
0029,0027
0029,0029
0028,0027
0029,0026
0030,0029
0029,0031
0027,0029
0029,0029
0030,0029
0030,0030
0031,0031
0030,0031
0030,0029
0029,0029
0026,0030
0028,0029
0031,0028
0030,0029
