ADC0, ADC1
0030,0030
0050,0041
0037,0038
0038,0038
0038,0036
0037,0037
0038,0037
0038,0039
0038,0039
0038,0038
0037,0037
0038,0038
0038,0038
0038,0037
0038,0038
0036,0037
0037,0037
0037,0040
0039,0035
0035,0036
0037,0036
0038,0039
0036,0035
0039,0037
0033,0038
0036,0037
0037,0036
0036,0037
0038,0036
0037,0037
0038,0037
0035,0036
0037,0036
0036,0035
0036,0035
0037,0037
0037,0035
0036,0036
0036,0035
0036,0036
0036,0036
0037,0037
0036,0036
0035,0036
0037,0038
0038,0037
0038,0038
0040,0038
0036,0038
0027,0040
0038,0039
0038,0038
0038,0037
0039,0037
0039,0038
0037,0038
0038,0041
0037,0036
0038,0040
0037,0037
0038,0038
0037,0036
0037,0037
0037,0037
0038,0036
0032,0047
0035,0038
0036,0036
0038,0036
0036,0037
0035,0038
0037,0037
0037,0037
0037,0037
0037,0037
0036,0036
0037,0036
0037,0036
0037,0037
0038,0037
0038,0035
0038,0040
0033,0038
0039,0038
0039,0037
0038,0038
0039,0038
0037,0038
0037,0039
0041,0039
0035,0039
0038,0037
0039,0040
0037,0040
0038,0039
0039,0038
0038,0037
0039,0039
0039,0039
0038,0039
0040,0040
0041,0041
0041,0041
0043,0040
0042,0040
0041,0041
0041,0042
0041,0039
0043,0041
0042,0041
0043,0042
0042,0042
0043,0043
0042,0043
0043,0043
0045,0044
0043,0044
0044,0044
0044,0045
0045,0045
0045,0045
0044,0045
0045,0047
0045,0046
0056,0045
0047,0045
0057,0044
0045,0046
0043,0045
0048,0045
0049,0045
0045,0047
0046,0045
0045,0045
0045,0044
0046,0046
0042,0046
0046,0047
0046,0046
0046,0045
0045,0046
0044,0045
0046,0046
0045,0046
0048,0048
0048,0046
0048,0047
0046,0046
0047,0045
0045,0044
0045,0047
0043,0046
0044,0046
0046,0046
0048,0044
0044,0045
0046,0045
0044,0045
0044,0045
0046,0046
0046,0047
0046,0051
0043,0045
0048,0046
0047,0046
0048,0048
0046,0048
0047,0047
0047,0049
0051,0047
0057,0050
0048,0046
0050,0047
0046,0048
0046,0048
0047,0048
0050,0049
0045,0040
0047,0047
0048,0046
0055,0048
0044,0047
0054,0048
0048,0048
0046,0049
0048,0046
0047,0047
0049,0048
0048,0059
0050,0051
0050,0051
0048,0047
0050,0049
0049,0048
0053,0050
0050,0047
0055,0049
0051,0048
0050,0049
0050,0051
0050,0051
0045,0049
0049,0049
0050,0049
0051,0051
0049,0049
0048,0048
0048,0049
0048,0048
0048,0050
0041,0049
0049,0050
0048,0049
0049,0048
0051,0051
0050,0051
0050,0049
0050,0050
0051,0052
0054,0050
0039,0048
0049,0049
0050,0050
0050,0048
0048,0049
0050,0051
0050,0048
0049,0050
0049,0048
0049,0049
0046,0058
0048,0050
0045,0052
0047,0048
0052,0043
0048,0048
0046,0051
0048,0047
0046,0050
0048,0050
0048,0048
0048,0048
0048,0049
0047,0050
0039,0048
0047,0048
0049,0049
0049,0049
0051,0053
0048,0049
0050,0051
0050,0050
0048,0048
0047,0049
0050,0047
0049,0047
0049,0049
0048,0047
0049,0048
0048,0046
0056,0050
0049,0049
0048,0050
0050,0051
0049,0048
0049,0050
0049,0045
0050,0049
0050,0050
0051,0051
0050,0049
0051,0050
0050,0051
0049,0049
0048,0046
0052,0051
0051,0041
0050,0051
0051,0051
0051,0050
0048,0047
0050,0050
0048,0049
0049,0048
0047,0050
0050,0050
0047,0053
0051,0049
0049,0050
0050,0048
0048,0048
0049,0049
0051,0044
0050,0050
0048,0051
0049,0051
0051,0052
0052,0051
0050,0052
0045,0051
0054,0049
0051,0052
0051,0052
0051,0050
0048,0050
0050,0050
0050,0049
0051,0051
0050,0055
0050,0050
0052,0050
0050,0050
0050,0050
0050,0049
0051,0051
0049,0050
0051,0048
0053,0051
0051,0049
0044,0050
0052,0051
0050,0049
0048,0048
0050,0059
